learning_rate,epoch,train_loss,train_accuracy,test_accuracy
0.1,1,4.912,9.97%,10.00%
0.1,2,2.3117,9.97%,10.00%
0.1,3,2.3116,10.15%,10.00%
0.1,4,2.3121,9.91%,10.00%
0.1,5,2.3105,10.24%,10.00%
0.1,6,2.3118,9.98%,10.00%
0.1,7,2.3115,10.19%,10.00%
0.1,8,2.3111,10.03%,10.00%
0.1,9,2.3119,10.02%,10.00%
0.1,10,2.3119,10.00%,10.00%
0.01,1,2.3109,9.81%,10.00%
0.01,2,2.3037,9.87%,10.00%
0.01,3,2.3036,9.92%,10.00%
0.01,4,2.3036,9.98%,10.00%
0.01,5,2.3037,10.01%,10.00%
0.01,6,2.3035,9.97%,10.00%
0.01,7,2.3036,9.91%,10.00%
0.01,8,2.3034,10.16%,10.00%
0.01,9,2.3036,9.91%,10.00%
0.01,10,2.3036,9.88%,10.00%
0.001,1,0.2728,91.60%,91.03%
0.001,2,0.0915,97.24%,92.81%
0.001,3,0.0613,98.08%,93.76%
0.001,4,0.0454,98.58%,94.11%
0.001,5,0.0374,98.81%,93.96%
0.001,6,0.0292,99.04%,93.84%
0.001,7,0.0256,99.15%,94.69%
0.001,8,0.0229,99.26%,95.00%
0.001,9,0.0188,99.34%,95.14%
0.001,10,0.0178,99.47%,95.21%
0.0001,1,0.7138,79.14%,77.31%
0.0001,2,0.2962,91.24%,81.72%
0.0001,3,0.2067,93.89%,86.30%
0.0001,4,0.166,95.06%,88.33%
0.0001,5,0.1372,95.91%,89.45%
0.0001,6,0.1165,96.60%,90.42%
0.0001,7,0.1001,97.02%,91.29%
0.0001,8,0.0883,97.34%,91.64%
0.0001,9,0.0789,97.73%,91.99%
0.0001,10,0.0704,97.88%,93.13%
